Name,Status,Constituency Office Expenses 1,Other Expenses 2,Allowances 3,Staff cost 4,Total Expenditure
,,(View Breakdown),(View Breakdown),(View Breakdown),(View Breakdown),
,,,,,,
"Stalford, Christopher",1,"£14,483.85",£365.18,£831.96,"£49,205.16","£64,886.15"
"Stewart, John",1,"£11,780.18",£504.00,"£3,750.00","£45,010.20","£61,044.38"
"Storey, Mervyn",1,"£13,926.41",£0.00,"£2,832.96","£49,241.64","£66,001.01"
"Sugden, Claire",1,"£12,512.12",£600.00,"£5,283.96","£41,671.57","£60,067.65"
"Swann, Robin",1,"£17,431.73",£493.86,"£4,029.80","£51,281.76","£73,237.15"
"Weir, Peter",1,"£12,895.07",£0.00,£750.00,"£44,118.57","£57,763.64"
"Wells, Jim",1,"£13,028.92",£600.00,"£3,999.96","£44,576.88","£62,205.76"
"Woods, Rachel",3,"£4,582.42",£47.50,£556.43,"£9,975.06","£15,161.41"
,,,,,,
Total,,"£1,112,274.69","£84,984.43","£270,461.12","£4,268,113.28","£5,735,833.52"
